0	On the one hand, the overall results are perhaps disappointing.	Meanwhile, the studied discriminative boundary detection method based on the CRF framework was successful in gaining consistent reduction in all error types, given increasing amounts of data.	The reason for this is that a completeness proof along the above lines runs into problems for such extended logics.	disappointing	was successful	the reason for this is	Comments on the findings	Explanation for the findings	S16-1182_s-15-1-1-0	J16-1003_s-24-1-1-3	E93-1044_s-10-1-0-2	0.6
1	Thus our aim of evaluating our hybrid system against THYME corpus which was developed using Stanford TokensRegex Framework and Stanford CRF Classifier was successful.	Experimental results demonstrate the encouraging performance of the proposed approach.	Also, the impact of imperfect temporal data is surprisingly minimal.	was successful	encouraging	surprisingly	Comments on the findings	Unexpected outcome	S16-1191_s-7-7-2-5	D08-1058_s-14-1-0-2	P07-2044_s-10-1-1-2	0.6
2	Our empirical evaluations have shown encouraging results for both approaches.	Our approach and results are significant from several perspectives: they provide a strong approach to identifying posts indicating a risk of self-harm in social media; they demonstrate a means for large scale public mental health studies surrounding the state of depression; and they demonstrate the possibility of sensitive applications in the context of clinical care, where clinicians could be notified if the activities of their patients suggest they are at risk of self-harm.	The most important finding of this study is that, even on a test painstakingly designed to exclusively assess composition, vector addition matches or outperforms sophisticated CDSM.	encouraging	results are significant	the most important finding	Comments on the findings	Restatement of the results	P16-1171_s-14-1-1-0	D17-1321_s-18-1-1-0	S15-1023_s-9-1-0-0	0.4
3	We believe that these results are significant as well as insightful.	This might seem disappointing considering the more complex machinery employed in our approach.	These findings suggest that the target topic, having a known narrative frame, was the most useful piece of information for participants in ordering tweets.	results are significant	disappointing	these findings suggest that	Comments on the findings	Suggestion of hypotheses	P07-1014_s-10-6-1-0	N03-1026_s-9-1-2-1	N18-4019_s-6-12-2-0	0.8
4	Overall, these results provide suggestive evidence that both KSs are useful for learning-based coreference resolution.	From the results in Table 2, it can be hypothesized that Novelty is best captured at sentence scoring stage of summarization, rather than at ranking or summary extraction.	Since our method depends on title words and keywords, we need additional studies about the characteristics of candidate words for title words and keywords according to each data set.	these results provide	it can be hypothesized that	additional studies	Suggestion of hypotheses	Suggestion of future work	P07-1068_s-10-10-5-0	N10-3003_s-13-1-0-8	P04-1033_s-23-1-1-0	1
5	Therefore, the lack of these tags strongly support the hypothesis that the speakers in score group 1 showed incompetence in the use of relative clauses or their use in limited situations.	It can be hypothesized that this finding carries over to other treebanks that are annotated with flat structures.	Such suboptimality averagely balanced by the feature representation raises the possibility of achieving states that have a high-quality summary with a low score, since we do not have a genuine score function.	support the hypothesis	it can be hypothesized that	raises the possibility	Suggestion of hypotheses	Implications of the findings	D12-1055_s-16-9-0-3	P03-1013_s-20-1-4-0	D12-1024_s-23-1-2-3	1
6	From the results in Table 2, it can be hypothesized that Novelty is best captured at sentence scoring stage of summarization, rather than at ranking or summary extraction.	Hence, these results provide additional evidence in support of surprisal as a reliable measure of cognitive processing difficulty during sentence comprehension (CITE-p-19-6-5).	The results challenge the reasons given in previous studies for rejecting the rule-based model.	it can be hypothesized that	these results provide	previous studies	Suggestion of hypotheses	Background provided by past work	N10-3003_s-13-1-0-8	P13-2152_s-17-1-0-1	P05-2001_s-14-4-1-0	0.4
7	From the ROUGE results in Table 6 we can infer that while REAPER outperformed ASRL on the query focused task, however it is notable that both systems under performed when compared to the top system from the DUC2006 conference.	It can be hypothesized that this finding carries over to other treebanks that are annotated with flat structures.	While it could be argued that our language identification accuracy of 84% is too low to be useful here, we believe that the principal reason for this performance decrease is the reduction in the amount of data available for the training of the separate models.	we can infer that	it can be hypothesized that	it could be argued that	Suggestion of hypotheses	Explanation for the findings	D14-1075_s-19-1-0-0	P03-1013_s-20-1-4-0	N10-1102_s-11-1-1-0	1
8	Second, our results suggest that there exists a clear relation between the two kinds of MT evaluation described.	These findings suggest that it is possible to estimate the expected variation in durations of oral reading across texts.	Nevertheless, the results from our current work have several important implications in building robust conversational interfaces.	suggest that * exists	these findings suggest that	important implications	Suggestion of hypotheses	Implications of the findings	P06-2003_s-18-3-1-0	N18-1195_s-25-1-0-2	P07-1047_s-11-1-4-0	1
9	These findings suggest that syntactic structure is a stronger determinant of gesture occurrence than theme or rheme and given or new information specified by local grammatical cues.	From the ROUGE results in Table 6 we can infer that while REAPER outperformed ASRL on the query focused task, however it is notable that both systems under performed when compared to the top system from the DUC2006 conference.	Such suboptimality averagely balanced by the feature representation raises the possibility of achieving states that have a high-quality summary with a low score, since we do not have a genuine score function.	these findings suggest that	we can infer that	raises the possibility	Suggestion of hypotheses	Implications of the findings	N04-4039_s-7-1-0-4	D14-1075_s-19-1-0-0	D12-1024_s-23-1-2-3	0.8
