0	The choice of related pairs in this dataset was drawn from VCL in the following way.	These features were only included in our second run yiGou-midbaitu.	Singular value decomposition (SVD) is traditionally used to perform this factorization.	was drawn from	only included in	traditionally	Criteria for selection	Methodology used in past work	N18-2032_s-8-1-0-0	S15-2014_s-8-10-1-5	D13-1090_s-4-1-0-3	0.8
1	The predictors described above were selected for inclusion in a larger ensemble on the basis of their performance on the development set.	The choice of related pairs in this dataset was drawn from VCL in the following way.	The judges were asked to draw lines between matching sentences.	selected * on the basis of	was drawn from	were asked to	Criteria for selection	Description of the process	S15-2002_s-8-1-0-0	N18-2032_s-8-1-0-0	J93-1004_s-7-1-1-3	0.8
2	These features were only included in our second run yiGou-midbaitu.	The choice of related pairs in this dataset was drawn from VCL in the following way.	In this paper, the distortion probability in equation (2) is estimated during decoding, using the same method as described in Pharaoh (CITE-p-21-1-10).	only included in	was drawn from	using the same method as	Criteria for selection	Using methods used in past work	S15-2014_s-8-10-1-5	N18-2032_s-8-1-0-0	D07-1030_s-6-1-1-0	1
3	Inclusion criteria for the control group were elderlies with no cognitive deficits and preservation of functional capacity in everyday life.	These features were only included in our second run yiGou-midbaitu.	The first dataset called LabWriting consists of 93 patients with schizophrenia who were recruited from sites in both Washington, D.C. and New York City.	inclusion criteria	only included in	were recruited from	Criteria for selection	Characteristics of samples or data	P17-1118_s-8-4-0-2	S15-2014_s-8-10-1-5	S17-1028_s-4-1-0-0	0.6
4	We established the following criteria for selecting textbooks and texts:	These features were only included in our second run yiGou-midbaitu.	This rather large window size was employed since the sample sizes for each word were relatively small, often no more than a few hundred instances.	criteria for selecting	only included in	was employed since	Criteria for selection	Reasons why a method was adopted or rejected	E09-3003_s-4-1-3-2	S15-2014_s-8-10-1-5	S07-1087_s-3-4-1-2	0.8
5	For each set, we assign labels to the extracted subtrees according to their frequencies by using the same method as that of CITE-p-28-1-4.	Our CNN implementation is based on the architecture proposed by CITE-p-12-1-4.	A well-established approach in language modelling is the linear interpolation of several models, i.e. computing the weighted average of the individual model probabilities.	using the same method as	based on * proposed by	a well-established approach in	Using methods used in past work	Methodology used in past work	D11-1007_s-14-4-0-3	S16-1043_s-4-1-0-0	E12-1055_s-4-1-0-0	1
6	Our CNN implementation is based on the architecture proposed by CITE-p-12-1-4.	Afterwards, according to the procedure proposed in (CITE-p-14-3-7), the domain-dependent logic expressions are generated in (d).	No children met the criteria for a language impairment, and there were no significant between-group differences in age or full-scale IQ.	based on * proposed by	according to the procedure	met the criteria	Using methods used in past work	Characteristics of samples or data	S16-1043_s-4-1-0-0	N18-1060_s-5-1-0-4	P15-2035_s-3-1-0-2	1
7	Afterwards, according to the procedure proposed in (CITE-p-14-3-7), the domain-dependent logic expressions are generated in (d).	Model 0 can be parsed by adapting standard top-down or bottom-up chart parsing techniques.	There are a number of methods for this purpose (CITE-p-14-1-7, CITE-p-14-3-4, CITE-p-14-1-6, CITE-p-14-1-19).	according to the procedure	by adapting	there are a number of methods	Using methods used in past work	Methodology used in past work	N18-1060_s-5-1-0-4	P10-1001_s-9-6-1-0	E17-1112_s-4-1-1-3	0.4
8	Model 0 can be parsed by adapting standard top-down or bottom-up chart parsing techniques.	Our CNN implementation is based on the architecture proposed by CITE-p-12-1-4.	We first discuss the feature set and then the algorithm.	by adapting	based on * proposed by	and then	Using methods used in past work	Description of the process	P10-1001_s-9-6-1-0	S16-1043_s-4-1-0-0	D10-1032_s-7-1-1-1	1
9	A well-established approach in language modelling is the linear interpolation of several models, i.e. computing the weighted average of the individual model probabilities.	Learning mechanisms for disambiguating word senses have a long tradition in the WSD field.	The verbs were selected from Levin's classes on the basis of our intuitive judgment that they are likely to be used with sufficient frequency to be found in the corpus we had available.	a well-established approach in	a long tradition	selected * on the basis of	Methodology used in past work	Criteria for selection	E12-1055_s-4-1-0-0	S01-1031_s-5-1-0-0	E99-1007_s-8-1-4-0	1
10	Several methods have been proposed for SMT using pivot languages.	Learning mechanisms for disambiguating word senses have a long tradition in the WSD field.	The choice of related pairs in this dataset was drawn from VCL in the following way.	methods have been proposed	a long tradition	was drawn from	Methodology used in past work	Criteria for selection	P15-2094_s-6-1-0-0	S01-1031_s-5-1-0-0	N18-2032_s-8-1-0-0	0.8
11	Backoff models have been used in a variety of ways in natural language processing, most notably in statistical language modeling.	Many methods exist for clustering, e.g., (CITE-p-15-1-0, CITE-p-15-1-4, CITE-p-15-1-21, CITE-p-15-1-11).	This removal was carried out on both the transcripts and audio.	in a variety of ways	methods exist	was carried out	Methodology used in past work	Description of the process	E06-1006_s-4-1-0-2	E06-1050_s-5-1-0-3	E17-1030_s-6-3-0-1	1
12	There are a number of methods to form the document-term matrix MATH-w-6-8-2-11.	Reuters-21578 6 is one of the most common testbeds for text categorization.	These features were only included in our second run yiGou-midbaitu.	there are a number of methods	one of the most common	only included in	Methodology used in past work	Criteria for selection	D10-1025_s-6-8-2-0	P06-1133_s-5-8-2-1	S15-2014_s-8-10-1-5	1
13	Singular value decomposition (SVD) is traditionally used to perform this factorization.	Learning mechanisms for disambiguating word senses have a long tradition in the WSD field.	This procedure is based on the WSD algorithm proposed by CITE-p-8-1-1.	traditionally	a long tradition	based on * proposed by	Methodology used in past work	Using methods used in past work	D13-1090_s-4-1-0-3	S01-1031_s-5-1-0-0	S07-1088_s-5-1-0-0	0.8
14	Two of the most popular methods to create such a mapping include: global matrix factorization and the local context window method.	Learning mechanisms for disambiguating word senses have a long tradition in the WSD field.	The choice of related pairs in this dataset was drawn from VCL in the following way.	the most popular methods	a long tradition	was drawn from	Methodology used in past work	Criteria for selection	S16-1144_s-8-1-0-2	S01-1031_s-5-1-0-0	N18-2032_s-8-1-0-0	1
15	Logical forms for other VNMAs have been developed along similar lines.	Many methods exist for clustering, e.g., (CITE-p-15-1-0, CITE-p-15-1-4, CITE-p-15-1-21, CITE-p-15-1-11).	Seven possible types of relationships between TREATMENT and DISEASE were identified.	have been developed	methods exist	were identified	Methodology used in past work	Description of the process	E03-1067_s-5-3-0-1	E06-1050_s-5-1-0-3	P04-1055_s-4-1-0-2	1
16	Many methods exist for clustering, e.g., (CITE-p-15-1-0, CITE-p-15-1-4, CITE-p-15-1-21, CITE-p-15-1-11).	Several methods have been proposed for SMT using pivot languages.	None of the participants analyzed here met the criteria for language impairment, and the two groups were selected so that there were no statistically significant differences (via two-tailed t-test) between the groups in chronological age, verbal IQ, and full scale IQ.	methods exist	methods have been proposed	met the criteria	Methodology used in past work	Characteristics of samples or data	E06-1050_s-5-1-0-3	P15-2094_s-6-1-0-0	P17-2006_s-4-1-0-2	1
17	One of the most well known is the lexicalized reordering model (CITE-p-23-1-16).	There are a number of methods and tools available to carry out this training of feature values.	For processing purposes, the corpus was divided into 3500 segments.	the most well-known	there are a number of methods	was divided into	Methodology used in past work	Characteristics of samples or data	E09-1043_s-16-1-0-1	P03-1040_s-13-5-5-1	D16-1017_s-4-1-2-0	1
18	Learning mechanisms for disambiguating word senses have a long tradition in the WSD field.	Singular value decomposition (SVD) is traditionally used to perform this factorization.	Afterwards, according to the procedure proposed in (CITE-p-14-3-7), the domain-dependent logic expressions are generated in (d).	a long tradition	traditionally	according to the procedure	Methodology used in past work	Using methods used in past work	S01-1031_s-5-1-0-0	D13-1090_s-4-1-0-3	N18-1060_s-5-1-0-4	1
19	Reuters-21578 6 is one of the most common testbeds for text categorization.	A number of techniques used for finding collocations and co-occurrences of words, such as mutual information, may well be used to search co-occurrence tendency between the question and the candidate answer in the Web.	The participants were recruited from the Gothenburg MCI study, which is a large longitudinal study on mild cognitive impairment (CITE-p-17-5-7).	one of the most common	a number of techniques	were recruited from	Methodology used in past work	Characteristics of samples or data	P06-1133_s-5-8-2-1	P02-1054_s-3-6-1-3	D17-1108_s-5-1-0-0	0.8
