0	These results show that PRINCIPAR compares quite well with both CFG parsers.	These results indicate that the topic modeler separates topics very efficiently.	First, there was a significant difference in the variability of judges’ responses between items that were incorrectly classified and those that were correct (66% vs. 73%, respectively; two-sample t test: MATH-w-15-9-2-88, MATH-w-15-9-2-98.02).	these results show that	these results indicate that	there was a significant difference	Summary of the results	Description of the results	J95-2005_s-12-6-1-3	E17-1033_s-16-1-0-2	D13-1094_s-15-9-2-2	1
1	These results suggest that rewriting is estimated to improve translation quality.	These results show that PRINCIPAR compares quite well with both CFG parsers.	Table 1 shows topic-length statistics, Table 2 shows document statistics, and Figure 4 shows an example topic.	these results suggest that	these results show that	table * shows	Summary of the results	Reference to tables or figures	P13-4015_s-7-4-1-0	J95-2005_s-12-6-1-3	E99-1013_s-10-1-1-0	1
2	Taken together, these results are consistent with the idea that, at least for a significant portion of the data, the incorrect judgments made by both the judges and the model may have occurred on passages for which either including or omitting the connective would have been acceptable.	These results suggest that rewriting is estimated to improve translation quality.	The results with this setting are summarized in Table 5.	taken together these results	these results suggest that	are summarized in table	Summary of the results	Reference to tables or figures	D13-1094_s-15-9-2-6	P13-4015_s-7-4-1-0	D07-1033_s-12-1-4-2	0.8
3	These results indicate that the topic modeler separates topics very efficiently.	These results show that stage 2 is central to the aligner’s success.	Comparing the F1-macro with and without lexicon, it can be seen that the additional information stored in the lexicon strongly increases the score by about 20 points for English data.	these results indicate that	these results show that	comparing * it can be seen that	Summary of the results	comparison of the results	E17-1033_s-16-1-0-2	D15-1111_s-16-1-1-4	N18-1134_s-12-1-1-3	1
4	These features cause no significant difference in score (line 5).	The analysis revealed that both structural and syntactic features are important.	The hardware was tested with 1 core and 5 cores.	no significant difference	revealed that	was tested	Description of the results	The aim of the paper (again)	D09-1076_s-11-6-4-3	N12-1009_s-24-1-0-1	P15-2063_s-10-4-0-1	0.8
5	The mean score for those with extensive formal training was 90.9%.	By contrast, only a few inserted clauses were detected even if dependency structures were used.	Average values for each method are shown in Figure 1 and comparative values are shown in Figure 2.	the mean score for * was	only * were detected	are shown in	Description of the results	Reference to tables or figures	N18-1175_s-13-1-1-4	P06-2042_s-9-5-1-0	N07-2044_s-5-1-0-1	0.6
6	No statistically significant decrease in accuracy was detected in any of the algorithm/dataset combinations.	This did not affect to English results because of the spareness of “vague” links.	Table 2 summarizes the accuracy of various models on three datasets, revealing that our model offers competitive performance, both as a joint model of words and labels (Eq.	no * was detected	did not affect	table * revealing that	Description of the results	Reference to tables or figures	E12-1008_s-15-3-2-1	S10-1063_s-18-11-1-6	P18-1189_s-11-1-1-0	0.2
7	There was a significant difference in performance across different relations.	There is a significant increase between “C:±2” and “C:±1” models.	The purpose of this test was to demonstrate possible differences between WSI of different word class combinations.	there was a significant difference	a significant increase	the purpose of * was to	Description of the results	The aim of the paper (again)	S07-1082_s-7-1-0-1	P11-1139_s-17-1-0-5	E06-1018_s-6-6-0-2	1
8	No significant improvement was observed in the results when the value of MPR was greater than 5.	The MT06 result is statistically significant at MATH-w-15-6-0-22; MT08 is significant at p ≤ 0.02.	The purpose of this stage was to correct obvious mistakes.	no * was observed	significant at	the purpose of * was to	Description of the results	The aim of the paper (again)	N09-3016_s-7-3-1-1	P12-1016_s-15-6-0-1	P13-1069_s-5-6-0-4	0.8
9	The results indicate that the sciences and humanities share several topics.	Further testing revealed that accuracy outside NEs was near 99%.	The purpose of this test was to demonstrate possible differences between WSI of different word class combinations.	the results indicate that	revealed that	the purpose of * was to	Description of the results	The aim of the paper (again)	D15-1179_s-16-1-1-0	N04-2007_s-5-10-2-0	E06-1018_s-6-6-0-2	0.6
