Description of the process	were then	11 models were then interpolated to create one language model.	N07-2033_s-4-1-1-2
Criteria for selection	selected * on the basis of	A larger set of Arabic Wikipedia articles, selected on the basis of quality heuristics, serves as unlabeled data for semisupervised learning.	E12-1017_s-7-1-0-3
Reasons why a method was adopted or rejected	approach was used to	A logistic regression approach was used to classify the dialogue acts based on the above feature vectors.	P11-1119_s-15-1-0-0
Reasons why a method was adopted or rejected	a major advantage of	A major advantage of current BPM systems (as well as their support for database access and enterprise system integration etc.) is their graphical development and authoring environments.	E06-2004_s-2-6-0-0
Methodology used in past work	a number of techniques	A number of techniques used for finding collocations and co-occurrences of words, such as mutual information, may well be used to search co-occurrence tendency between the question and the candidate answer in the Web.	P02-1054_s-3-6-1-3
Methodology used in past work	a well-established approach in	A well-established approach in language modelling is the linear interpolation of several models, i.e. computing the weighted average of the individual model probabilities.	E12-1055_s-4-1-0-0
Reasons why a method was adopted or rejected	was adopted to	After an initial pilot annotation study, the following annotation policy was adopted to overcome common disagreements: (1) When the argument is a noun and it is part of a definite description then include the entire definite description.	P06-2104_s-4-3-0-2
Description of the process	after collection	After collection, we get a set of instances MATH-w-6-1-2-101 with different document-topic distributions for each bilingual term pair.	D14-1060_s-6-1-2-2
Description of the process	after training	After training, the learned embedding matrices are ready to be used.	N18-2054_s-9-1-1-0
Description of the process	after training	After training, we can apply the resulting model to resolve AZPs.	D14-1084_s-10-1-0-0
Using methods used in past work	according to the procedure	Afterwards, according to the procedure proposed in (CITE-p-14-3-7), the domain-dependent logic expressions are generated in (d).	N18-1060_s-5-1-0-4
Characteristics of samples or data	were recruited for	All data was annotated by 22 undergraduate and graduate students in various disciplines who were recruited for the task.	P14-2064_s-3-3-1-1
Characteristics of samples or data	over half	All the meetings in the AMI corpus are spoken in English, but over half the participants are nonnative speakers.	N10-1001_s-3-9-0-0
Description of the process	were taken from	All unigrams, bigrams, and trigrams were taken from each response.	P15-2016_s-5-1-0-1
Description of the process	was then	An LR classifier was then trained over the labeled sentences.	D15-1050_s-8-1-1-1
Reasons why a method was adopted or rejected	another advantage of	Another advantage of the discriminative tagger is its relatively good prediction power of the longer-distance dependencies.	J16-3002_s-29-11-2-5
Reasons why a method was adopted or rejected	another advantage of	Another advantage of this structure is that it allows us to find the ‘hidden fragments’.	D10-1038_s-11-1-2-1
Description of the process	was obtained from	Approval to analyze the dataset was obtained from the Stanford IRB.	Q16-1033_s-4-5-1-5
Description of the process	the first step was to	Articles and summaries are paired by document, so the first step was to perform sentence alignment.	N07-1023_s-6-1-0-1
Reasons why a method was adopted or rejected	have a number of advantages	As we will show, Sequential Monte Carlo (SMC) algorithms have a number of advantages in this setting: they permit the efficient computation of both the outer and inner expectations, they are trivially parallelizable, and the number of samples provides an intuitive tuning tradeoff between accuracy and speed.	D13-1007_s-5-9-1-4
Methodology used in past work	in a variety of ways	Backoff models have been used in a variety of ways in natural language processing, most notably in statistical language modeling.	E06-1006_s-4-1-0-2
Description of the process	prior to	Compound splitting is performed on the training corpus, prior to training.	E09-3008_s-7-7-1-3
Description of the process	prior to	Dropout is then applied to these vectors prior to classification.	S18-1185_s-4-5-0-0
Description of the process	finally	Finally, we randomly pull 200 tweets for each identified user.	D16-1107_s-5-1-0-3
Using methods used in past work	using the same method as	First, a Japanese lexical substitution dataset was constructed using the same method as CITE-p-22-3-1.	P15-3006_s-7-1-0-1
Characteristics of samples or data	were included in	For each concept, the preferred term as well as the synonyms were included in the dictionary.	S15-2064_s-5-1-1-3
Using methods used in past work	using the same method as	For each set, we assign labels to the extracted subtrees according to their frequencies by using the same method as that of CITE-p-28-1-4.	D11-1007_s-14-4-0-3
Description of the process	was obtained from	For our experiments, the text was obtained from MEDLINE 2001 2 .	P04-1055_s-4-1-0-0
Characteristics of samples or data	was divided into	For processing purposes, the corpus was divided into 3500 segments.	D16-1017_s-4-1-2-0
Description of the process	were run	For supertagging, experiments were run with the standard splits of CCGbank.	N16-1027_s-8-1-0-0
Description of the process	it was necessary to	For this reason, it was necessary to employ validation in training.	J03-1004_s-9-27-0-2
Reasons why a method was adopted or rejected	was chosen because	Frequency 25 was chosen because it is a medium frequency for all three word classes.	E97-1015_s-4-2-1-1
Description of the process	were searched	Further, online reference lists of projects and authors concerned with manual annotations were searched.	J11-4004_s-5-1-0-4
Description of the process	to enable	Furthermore, we use a fixed random seed to enable replicability.	S18-1032_s-14-1-0-5
Reasons why a method was adopted or rejected	the main disadvantage of	However, the main disadvantage of this approach to estimate interlingual text similarity is that it strongly relies on the availability of a multilingual lexical resource.	P06-1070_s-5-1-0-2
Description of the process	in order to assess	In order to assess the contribution of each group to the overall system performance, we performed a feature ablation experiment.	N13-1133_s-22-1-0-4
Description of the process	in order to assess	In order to assess the quality of the guidelines and the annotation, we conducted an inter-annotator agreement study.	Q14-1042_s-4-9-1-0
Description of the process	in order to control	In order to control for this a bound on minimum pronunciation length can be utilized.	N04-1017_s-7-3-1-3
Description of the process	in order to determine	In order to determine the most probable phrase combination in network structure, heuristic rules axe applied.	P86-1024_s-6-10-0-0
Description of the process	in order to identify	In order to identify such terms, we first extract all content terms from the query.	P14-1115_s-6-1-0-1
Description of the process	in order to measure	In order to measure the semantic similarity between tweets, rather than isolated words, we needed a way to obtain vector representations of documents.	S16-1072_s-7-1-1-0
Description of the process	in order to understand	In order to understand the temporal nature of healthcare data, we need to develop deep learning models whose parameters gets incrementally updated with time.	P18-3005_s-8-3-5-3
Methodology used in past work	methods have been proposed	In recent years, several methods have been proposed for constructing kernels from trained probabilistic models.	P05-1023_s-3-1-0-0
