Suggestion of future work	focus on	(Future studies will focus on a broader population of adults.)	N04-4019_s-12-1-4-5
Explanation for the findings	the domains see Table	4 A possible explanation for these disparate findings is a systematic variation of annotator numbers employed in the domains (see Table 5).	J11-4004_s-11-20-0-0
Suggestion of future work	a topic-comment structure	7 One explanation for this result could be that developers (or development tools) treat axioms as having a topic-comment structure, where the topic is usually the first argument; we intend to investigate this possibility in a further study.	P10-2024_s-6-6-0-0
Explanation for the findings	GE15 in terms of	A possible explanation for this is that the SE07 dataset appears to be somewhere in the middle between EL09 and GE15 in terms of substitute variance.	P16-1012_s-10-11-1-10
Unexpected outcome	impact	Also, the impact of imperfect temporal data is surprisingly minimal.	P07-2044_s-10-1-1-2
Explanation for the findings	the fact that not	Alternatively, the absence of correlations may be explained by the fact that not all perception necessarily leads to a change in production, as CITE-p-16-1-11 found.	N18-2048_s-14-1-2-2
Restatement of the results	yield significantly better	Although based on much more labeled training data, these experiments did not yield significantly better results.	P02-1045_s-12-1-1-6
Implications of the findings	that the system does	An implication of this property is that the system does not try to match the input utterance to the closest word (by some measure of distance) contained in the dictionary but rather tries to find its most probable spelling.	J96-3003_s-15-3-1-2
Explanation for the findings	whether or not contributors	As shown in Figure 3, whether or not contributors could be attributed to the hearer did not correlate with the choice of SINCEor BECAUSE.	P95-1018_s-4-1-4-0
Suggestion of future work	is the	As this is the first work which addressed unsupervised ARGID , many questions remain to be explored.	P09-1004_s-10-7-4-0
comparison of the results and past work	in standard works on	As we have seen, training on source language x and testing on source language y provides us with a good estimation of the distance between languages, in accordance with what we find in standard works on typology (cf. CITE-p-16-1-7).	P11-1132_s-15-1-4-3
Implications of the findings	Automatic identification	Automatic identification of user intent also has important implications in building intelligent conversational QA systems.	P06-2008_s-12-1-2-0
Explanation for the findings	limitations of the current	Both of these results however may be due to limitations of the current method.	D09-1065_s-9-4-1-1
Explanation for the findings	more subtle is happening	But it may be that something more subtle is happening.	P05-2008_s-14-1-1-0
Comments on the findings	shows that	By measuring inter-annotator agreement it shows that this process was successful.	P06-2053_s-9-1-0-1
comparison of the results and past work	using a	CITE-p-27-3-4 also reported high accuracy (95.8 UAS and 94.6 LAS) by using a converter.	D17-1046_s-22-2-0-1
Background provided by past work	perform well in	Despite having no parameters at all, it has been reported to perform well in many collaborative filtering tasks (CITE-p-20-1-9).	D08-1106_s-18-3-0-0
Comments on the findings	extract high-level	Despite this, the model was successful as a language model for speech recognition, as measured by WER and ability to extract high-level information.	P04-1030_s-15-1-0-4
Comments on the findings	of	Experimental results demonstrate the encouraging performance of the proposed approach.	D08-1058_s-14-1-0-2
Suggestion of future work	of visual	First, we plan future studies to help expand our notion of visual salience.	E06-3001_s-16-1-0-1
Restatement of the results	and All our	For the classes PPER PPOS, NE and All, our Co-Training experiments did not yield any benefits worth reporting.	P02-1045_s-12-1-1-3
Restatement of the results	the monotone search	For these pairs, the monotone search was found to be sufficient.	N04-1033_s-21-1-2-5
Suggestion of hypotheses	results in Table 6	From the ROUGE results in Table 6 we can infer that while REAPER outperformed ASRL on the query focused task, however it is notable that both systems under performed when compared to the top system from the DUC2006 conference.	D14-1075_s-19-1-0-0
Suggestion of hypotheses	From the results in Table	From the results in Table 2, it can be hypothesized that Novelty is best captured at sentence scoring stage of summarization, rather than at ranking or summary extraction.	N10-3003_s-13-1-0-8
Suggestion of future work	topic differences and audience size	Further work is required to reconcile our results with prior work on topic differences and audience size (CITE-p-12-3-2).	N18-2022_s-10-1-2-1
Suggestion of hypotheses	during sentence comprehension	Hence, these results provide additional evidence in support of surprisal as a reliable measure of cognitive processing difficulty during sentence comprehension (CITE-p-19-6-5).	P13-2152_s-17-1-0-1
Explanation for the findings	and testing corpora	However, a few comparisons with Aslin’s et al. (1996) data in Table 1 may be useful, although they should be interpreted cautiously given the differences in the training and testing corpora between their study and this one.	N04-2008_s-10-1-0-1
Suggestion of future work	to investigate	However, additional studies are needed to investigate why huge improvements in AER result in relatively smaller improvements in BLEU scores.	N06-1013_s-13-1-2-1
Explanation for the findings	in light of	However, results should be interpreted in light of the following two factors.	Q17-1002_s-18-1-0-3
Explanation for the findings	results suggest that	However, the results suggest that the proposed method offers a more affordable approach that provides reasonable coverage and quality, even if individual general knowledge sources may be limited in themselves.	D11-1092_s-14-5-2-6
Suggestion of future work	avenues for improvement	However, there are still a number of avenues for improvement.	N16-1003_s-16-5-1-0
comparison of the results and past work	method showed a significantly	In contrast to earlier studies, our basic method showed a significantly improved communication rate over no prediction.	N07-2044_s-9-4-1-0
Background provided by past work	sufficient position embeddings also	In contrast to prior work that has assumed that the sequenceof-character information captured by character ngrams is sufficient, position embeddings also capture sequenceof-ngram information.	E17-1074_s-14-1-0-2
Restatement of the results	to the embedding	In our experiments, the distance feature was found to be less important compared to the embedding features.	N18-1082_s-6-10-3-3
Suggestion of hypotheses	to other treebanks that are	It can be hypothesized that this finding carries over to other treebanks that are annotated with flat structures.	P03-1013_s-20-1-4-0
Explanation for the findings	the recognition incentive was motivating	It could be argued that the recognition incentive was motivating players in the free condition and thus some incentive was required.	P14-1122_s-16-1-0-3
Unexpected outcome	we did not achieve reliable	It is somewhat surprising that we did not achieve reliable performance gains which were seen in the related work described above.	S12-1031_s-17-1-1-0
Unexpected outcome	as strong	It was unexpected for verb disambiguation results to be as strong as nouns because a previous study using Web Selectors found noun sense disambiguation clearly stronger than verb sense disambiguation on a coarse-grained corpus (CITE-p-8-1-10).	S10-1088_s-5-1-2-2
Comments on the findings	based on	Meanwhile, the studied discriminative boundary detection method based on the CRF framework was successful in gaining consistent reduction in all error types, given increasing amounts of data.	J16-1003_s-24-1-1-3
comparison of the results and past work	Studies namely the	More generally, this study confirms that insights drawn from the field of theoretical Translation Studies, namely, the dual claim according to which translations as such differ from originals, and translations from different source languages differ from each other, can be verified experimentally and contribute to the performance of machine translation.	J12-4004_s-13-6-1-0
comparison of the results and past work	dual claim according	More generally, this study confirms that insights drawn from the field of theoretical translation studies, namely the dual claim according to which (1) translations as such differ from originals, and (2) translations from different source languages differ from each other, can be verified experimentally and contribute to the performance of machine translation.	D11-1034_s-12-3-2-0
Comments on the findings	those	Moreover, the results obtained with those methods are quite encouraging.	P91-1027_s-9-1-0-2
Implications of the findings	the results	Nevertheless, the results from our current work have several important implications in building robust conversational interfaces.	P07-1047_s-11-1-4-0
Suggestion of future work	issues that need	Nevertheless, there are still a number of issues that need be addressed.	P04-1067_s-11-1-3-4
comparison of the results and past work	learned grammar is also	Not only is our parser more accurate, but the learned grammar is also significantly smaller than that of previous work.	P06-1055_s-13-1-0-7
Explanation for the findings	in the whole dataset	Of course, our results need to be interpreted with prudence, since the automatic classifiers for detecting SOEs and CF on SOEs in the whole dataset are far from perfect.	K16-1011_s-17-1-1-3
Comments on the findings	perhaps	On the one hand, the overall results are perhaps disappointing.	S16-1182_s-15-1-1-0
Unexpected outcome	three information-status classifiers have yielded	On the other hand, it is somewhat surprising that the three information-status classifiers have yielded coreference systems that perform at essentially the same level of performance.	D11-1099_s-19-5-0-4
Suggestion of future work	One interesting topic	One interesting topic for future research is exploration in planning.	P18-1203_s-13-1-1-0
