Description of the process	create one language model	11 models were then interpolated to create one language model.	N07-2033_s-4-1-1-2
Criteria for selection	set of Arabic Wikipedia	A larger set of Arabic Wikipedia articles, selected on the basis of quality heuristics, serves as unlabeled data for semisupervised learning.	E12-1017_s-7-1-0-3
Reasons why a method was adopted or rejected	classify the dialogue acts	A logistic regression approach was used to classify the dialogue acts based on the above feature vectors.	P11-1119_s-15-1-0-0
Reasons why a method was adopted or rejected	for database access and	A major advantage of current BPM systems (as well as their support for database access and enterprise system integration etc.) is their graphical development and authoring environments.	E06-2004_s-2-6-0-0
Methodology used in past work	co-occurrences of words such	A number of techniques used for finding collocations and co-occurrences of words, such as mutual information, may well be used to search co-occurrence tendency between the question and the candidate answer in the Web.	P02-1054_s-3-6-1-3
Methodology used in past work	average of the individual	A well-established approach in language modelling is the linear interpolation of several models, i.e. computing the weighted average of the individual model probabilities.	E12-1055_s-4-1-0-0
Reasons why a method was adopted or rejected	initial pilot annotation study	After an initial pilot annotation study, the following annotation policy was adopted to overcome common disagreements: (1) When the argument is a noun and it is part of a definite description then include the entire definite description.	P06-2104_s-4-3-0-2
Description of the process	MATH-w-6-1-2-101 with different document-topic	After collection, we get a set of instances MATH-w-6-1-2-101 with different document-topic distributions for each bilingual term pair.	D14-1060_s-6-1-2-2
Description of the process	embedding matrices are ready	After training, the learned embedding matrices are ready to be used.	N18-2054_s-9-1-1-0
Description of the process	can apply the resulting	After training, we can apply the resulting model to resolve AZPs.	D14-1084_s-10-1-0-0
Using methods used in past work	expressions are generated in	Afterwards, according to the procedure proposed in (CITE-p-14-3-7), the domain-dependent logic expressions are generated in (d).	N18-1060_s-5-1-0-4
Characteristics of samples or data	students in various disciplines	All data was annotated by 22 undergraduate and graduate students in various disciplines who were recruited for the task.	P14-2064_s-3-3-1-1
Characteristics of samples or data	the participants are nonnative	All the meetings in the AMI corpus are spoken in English, but over half the participants are nonnative speakers.	N10-1001_s-3-9-0-0
Description of the process	unigrams bigrams and trigrams	All unigrams, bigrams, and trigrams were taken from each response.	P15-2016_s-5-1-0-1
Description of the process	trained over the labeled	An LR classifier was then trained over the labeled sentences.	D15-1050_s-8-1-1-1
Reasons why a method was adopted or rejected	tagger is its relatively	Another advantage of the discriminative tagger is its relatively good prediction power of the longer-distance dependencies.	J16-3002_s-29-11-2-5
Reasons why a method was adopted or rejected	this structure is that	Another advantage of this structure is that it allows us to find the ‘hidden fragments’.	D10-1038_s-11-1-2-1
Description of the process	to analyze the dataset	Approval to analyze the dataset was obtained from the Stanford IRB.	Q16-1033_s-4-5-1-5
Description of the process	and summaries are paired	Articles and summaries are paired by document, so the first step was to perform sentence alignment.	N07-1023_s-6-1-0-1
Reasons why a method was adopted or rejected	they are trivially parallelizable	As we will show, Sequential Monte Carlo (SMC) algorithms have a number of advantages in this setting: they permit the efficient computation of both the outer and inner expectations, they are trivially parallelizable, and the number of samples provides an intuitive tuning tradeoff between accuracy and speed.	D13-1007_s-5-9-1-4
Methodology used in past work	most notably in statistical	Backoff models have been used in a variety of ways in natural language processing, most notably in statistical language modeling.	E06-1006_s-4-1-0-2
Description of the process	on the training corpus	Compound splitting is performed on the training corpus, prior to training.	E09-3008_s-7-7-1-3
Description of the process	then applied to these	Dropout is then applied to these vectors prior to classification.	S18-1185_s-4-5-0-0
Description of the process	we randomly pull 200	Finally, we randomly pull 200 tweets for each identified user.	D16-1107_s-5-1-0-3
Using methods used in past work	Japanese lexical substitution dataset	First, a Japanese lexical substitution dataset was constructed using the same method as CITE-p-22-3-1.	P15-3006_s-7-1-0-1
Characteristics of samples or data	concept the preferred term	For each concept, the preferred term as well as the synonyms were included in the dictionary.	S15-2064_s-5-1-1-3
Using methods used in past work	assign labels to the	For each set, we assign labels to the extracted subtrees according to their frequencies by using the same method as that of CITE-p-28-1-4.	D11-1007_s-14-4-0-3
Description of the process	For our experiments the	For our experiments, the text was obtained from MEDLINE 2001 2 .	P04-1055_s-4-1-0-0
Characteristics of samples or data	processing purposes the corpus	For processing purposes, the corpus was divided into 3500 segments.	D16-1017_s-4-1-2-0
Description of the process	with the standard splits	For supertagging, experiments were run with the standard splits of CCGbank.	N16-1027_s-8-1-0-0
Description of the process	employ validation in training	For this reason, it was necessary to employ validation in training.	J03-1004_s-9-27-0-2
Reasons why a method was adopted or rejected	all three word classes	Frequency 25 was chosen because it is a medium frequency for all three word classes.	E97-1015_s-4-2-1-1
Description of the process	of projects and authors	Further, online reference lists of projects and authors concerned with manual annotations were searched.	J11-4004_s-5-1-0-4
Description of the process	Furthermore we use a	Furthermore, we use a fixed random seed to enable replicability.	S18-1032_s-14-1-0-5
Reasons why a method was adopted or rejected	similarity is that it	However, the main disadvantage of this approach to estimate interlingual text similarity is that it strongly relies on the availability of a multilingual lexical resource.	P06-1070_s-5-1-0-2
Description of the process	a feature ablation experiment	In order to assess the contribution of each group to the overall system performance, we performed a feature ablation experiment.	N13-1133_s-22-1-0-4
Description of the process	the quality of the	In order to assess the quality of the guidelines and the annotation, we conducted an inter-annotator agreement study.	Q14-1042_s-4-9-1-0
Description of the process	on minimum pronunciation length	In order to control for this a bound on minimum pronunciation length can be utilized.	N04-1017_s-7-3-1-3
Description of the process	network structure heuristic rules	In order to determine the most probable phrase combination in network structure, heuristic rules axe applied.	P86-1024_s-6-10-0-0
Description of the process	content terms from the	In order to identify such terms, we first extract all content terms from the query.	P14-1115_s-6-1-0-1
Description of the process	rather than isolated words	In order to measure the semantic similarity between tweets, rather than isolated words, we needed a way to obtain vector representations of documents.	S16-1072_s-7-1-1-0
Description of the process	whose parameters gets incrementally	In order to understand the temporal nature of healthcare data, we need to develop deep learning models whose parameters gets incrementally updated with time.	P18-3005_s-8-3-5-3
Methodology used in past work	kernels from trained probabilistic	In recent years, several methods have been proposed for constructing kernels from trained probabilistic models.	P05-1023_s-3-1-0-0
Using methods used in past work	described in Pharaoh cite-	In this paper, the distortion probability in equation (2) is estimated during decoding, using the same method as described in Pharaoh (CITE-p-21-1-10).	D07-1030_s-6-1-1-0
Description of the process	total over 10000 commands	In total, over 10,000 commands were collected through the game.	S14-2006_s-6-1-0-0
Criteria for selection	the control group were	Inclusion criteria for the control group were elderlies with no cognitive deficits and preservation of functional capacity in everyday life.	P17-1118_s-8-4-0-2
Description of the process	Keywords are used both	Keywords are used both in order to identify thematically relevant tweets and also targets.	E17-1046_s-5-1-0-6
Methodology used in past work	in the WSD field	Learning mechanisms for disambiguating word senses have a long tradition in the WSD field.	S01-1031_s-5-1-0-0
Methodology used in past work	Logical forms for other	Logical forms for other VNMAs have been developed along similar lines.	E03-1067_s-5-3-0-1
Reasons why a method was adopted or rejected	performance and results that	Logistic regression was chosen because it produces a model with high performance and results that are easily interpretable.	D13-1094_s-5-1-0-1
Methodology used in past work	clustering eg cite- cite-	Many methods exist for clustering, e.g., (CITE-p-15-1-0, CITE-p-15-1-4, CITE-p-15-1-21, CITE-p-15-1-11).	E06-1050_s-5-1-0-3
Using methods used in past work	0 can be parsed	Model 0 can be parsed by adapting standard top-down or bottom-up chart parsing techniques.	P10-1001_s-9-6-1-0
Description of the process	using the output of	Negation relations were identified using the output of the dependency parser.	S14-2070_s-5-7-0-2
Description of the process	randomly shuffling the original	Negative examples were generated by randomly shuffling the original set of 1385 pairs.	D16-1234_s-4-1-2-2
Characteristics of samples or data	for a language impairment	No children met the criteria for a language impairment, and there were no significant between-group differences in age or full-scale IQ.	P15-2035_s-3-1-0-2
Characteristics of samples or data	two groups were selected	None of the participants analyzed here met the criteria for language impairment, and the two groups were selected so that there were no statistically significant differences (via two-tailed t-test) between the groups in chronological age, verbal IQ, and full scale IQ.	P17-2006_s-4-1-0-2
Description of the process	to ENTITY which not	Note that all species words (e.g., Drosophila) were normalised to “SPECIESWORD”, and entities (e.g., Kip3) to “ENTITY”, which not only reduces the noise in the feature set, but also makes the model more species-generic.	D09-1157_s-9-3-1-8
Description of the process	comprehensive range of objects	Once these games were completed, we prioritized ordering based on object category to include a comprehensive range of objects.	D14-1086_s-9-1-0-3
Reasons why a method was adopted or rejected	RNN is that it	One advantage of the RNN is that it considers the word order in the event expression, which can be important.	N18-1174_s-7-1-2-1
Reasons why a method was adopted or rejected	that it enables us	One advantage of the discriminative method is that it enables us to incorporate arbitrary features.	D13-1026_s-8-1-0-0
Methodology used in past work	is the lexicalized reordering	One of the most well known is the lexicalized reordering model (CITE-p-23-1-16).	E09-1043_s-16-1-0-1
Characteristics of samples or data	not appear in the	Only wordforms that did not appear in the first gold standard were included in the second one.	E09-1015_s-12-3-3-2
Using methods used in past work	Our CNN implementation is	Our CNN implementation is based on the architecture proposed by CITE-p-12-1-4.	S16-1043_s-4-1-0-0
Description of the process	any selection of a	Our tests were run without any selection of a subject area.	E97-1015_s-8-3-7-0
Description of the process	available in the articles	Paragraphs were identified based on formatting information available in the articles.	P11-2117_s-4-1-1-1
Reasons why a method was adopted or rejected	Parsing partsof-speech and constituency	Parsing: partsof-speech and constituency parsing using a shift-reduce parser 2 , which was selected for its speed over accuracy.	S17-2108_s-5-5-5-1
Description of the process	by the presence of	Questions were coded simply by the presence of question marks.	N09-1072_s-8-4-1-3
Methodology used in past work	testbeds for text categorization	Reuters-21578 6 is one of the most common testbeds for text categorization.	P06-1133_s-5-8-2-1
Description of the process	Seven possible types of	Seven possible types of relationships between TREATMENT and DISEASE were identified.	P04-1055_s-4-1-0-2
Methodology used in past work	SMT using pivot languages	Several methods have been proposed for SMT using pivot languages.	P15-2094_s-6-1-0-0
Methodology used in past work	smoothing ME models see	Several methods have been proposed for smoothing ME models (see CITE-p-7-1-3).	E03-1071_s-3-1-0-0
Methodology used in past work	Singular value decomposition SVD	Singular value decomposition (SVD) is traditionally used to perform this factorization.	D13-1090_s-4-1-0-3
Description of the process	including approximately 50 stimulus	Six different surveys, each including approximately 50 stimulus words, were administered for each region.	D17-1241_s-4-3-1-2
Characteristics of samples or data	3 and 23 words	Slightly over half of the definitions have a length of 5–16 words; 75% have lengths between 3 and 23 words.	D13-1073_s-12-4-0-5
Methodology used in past work	SVMs are one of	Support vector machines (SVMs) are one of the most popular methods for text classification, largely because they can automatically weight large numbers of features, capturing feature interactions in the process (CITE-p-18-1-13, CITE-p-18-3-5).	N10-1027_s-9-1-0-0
Characteristics of samples or data	training and testing segments	The 79 subcategories were divided into training and testing segments.	S12-1047_s-8-1-0-0
Reasons why a method was adopted or rejected	formulation are summarized in	The advantages of the new formulation are summarized in Table 1.	N04-2010_s-3-7-1-12
Reasons why a method was adopted or rejected	which can be calculated	The benefit of this approach is that the calculation for merging two clusters depends only on coreference decisions between individual strings, which can be calculated independently.	N07-1016_s-9-1-1-1
Reasons why a method was adopted or rejected	generalisation power once a	The benefit of this approach lies in its generalisation power: once a function between the two semantic spaces is learnt, it can be used to see how an unseen concept relates to other concepts, just by looking at an image of that concept.	N16-1071_s-5-5-1-0
Criteria for selection	choice of related pairs	The choice of related pairs in this dataset was drawn from VCL in the following way.	N18-2032_s-8-1-0-0
Description of the process	clusters of coreferential entities	The coreference feature value was calculated using clusters of coreferential entities.	S14-2139_s-5-3-1-1
Characteristics of samples or data	and testing 25 sets	The corpus was divided into training (75%) and testing (25%) sets.	N06-3006_s-5-4-1-0
Criteria for selection	the next candidate sentence	The criteria for selecting the next candidate sentence to annotate can then be described as: MATH-p-9-9-0 where MATH-p-9-11-0	P13-3011_s-9-8-1-0
Reasons why a method was adopted or rejected	a few variations for	The cutoff of 20% was chosen to allow a few variations for most phones.	N09-3006_s-12-2-1-1
Reasons why a method was adopted or rejected	overlap between discriminant features	The data split was chosen to have minimal overlap between discriminant features.	S18-1170_s-3-3-3-2
Description of the process	study conducted by the	The dataset was obtained from a previous study conducted by the authors.	P17-1131_s-4-1-0-1
Description of the process	an i5 28 GHz	The experiments were performed on an i5, 2.8 GHz processor.	D14-1171_s-4-10-0-6
Description of the process	unclear references can be	The experts could access the premises to see if unclear references can be resolved.	E17-1105_s-13-6-1-0
Characteristics of samples or data	both Washington DC and	The first dataset called LabWriting consists of 93 patients with schizophrenia who were recruited from sites in both Washington, D.C. and New York City.	S17-1028_s-4-1-0-0
Description of the process	the surprise languages and	The first step was to identify the languages which are syntactically related to the surprise languages and whose treebanks are in Universal Dependency corpus.	K17-3019_s-5-3-1-0
Description of the process	using the Magnitude Estimation	The human ratings were gathered using the Magnitude Estimation technique (CITE-p-13-1-0).	E06-1044_s-5-1-4-7
Description of the process	The input order is	The input order is randomized, to prevent spurious order effects.	P16-3010_s-8-1-1-1
Description of the process	lines between matching sentences	The judges were asked to draw lines between matching sentences.	J93-1004_s-7-1-1-3
